,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Duty
4413,36.0,55.0,68.0,41.0,67.0,76.0,73.0,66.0,71.0,77.0,76.0,71.0,68.0,64.0,65.0,62.0,75.0,65.0,46.0,64.0,65.0,56.0,58.0,39.0,65.0,65.0,72.0,67.0,10.0,9.0,11.0,7.0,15.0,1
4414,52.0,60.0,70.0,58.0,72.0,60.0,52.0,65.0,71.0,83.0,82.0,81.0,60.0,83.0,65.0,74.0,69.0,57.0,57.0,70.0,66.0,63.0,41.0,60.0,55.0,69.0,70.0,74.0,16.0,11.0,7.0,8.0,9.0,1
4415,64.0,46.0,68.0,53.0,71.0,67.0,60.0,66.0,70.0,77.0,78.0,74.0,68.0,73.0,64.0,68.0,78.0,61.0,67.0,56.0,40.0,64.0,70.0,62.0,64.0,45.0,47.0,43.0,12.0,14.0,14.0,11.0,6.0,2
4416,51.0,53.0,73.0,43.0,70.0,65.0,64.0,70.0,73.0,72.0,71.0,78.0,73.0,75.0,65.0,61.0,78.0,53.0,56.0,75.0,63.0,67.0,73.0,64.0,68.0,60.0,62.0,54.0,7.0,11.0,14.0,10.0,7.0,2
4417,71.0,52.0,68.0,54.0,69.0,49.0,55.0,61.0,68.0,72.0,77.0,78.0,72.0,74.0,64.0,59.0,71.0,69.0,65.0,37.0,34.0,76.0,69.0,71.0,61.0,31.0,24.0,23.0,7.0,9.0,15.0,8.0,12.0,2
4418,6.0,23.0,41.0,13.0,12.0,23.0,12.0,39.0,34.0,34.0,30.0,48.0,66.0,41.0,25.0,75.0,38.0,74.0,13.0,40.0,26.0,16.0,31.0,25.0,52.0,12.0,7.0,9.0,73.0,70.0,60.0,71.0,69.0,0
4419,66.0,56.0,64.0,56.0,75.0,47.0,42.0,47.0,71.0,93.0,92.0,87.0,64.0,83.0,68.0,90.0,75.0,49.0,63.0,36.0,48.0,66.0,65.0,59.0,72.0,55.0,32.0,50.0,10.0,8.0,11.0,11.0,12.0,2
4420,59.0,48.0,72.0,59.0,63.0,54.0,62.0,73.0,70.0,69.0,69.0,66.0,64.0,74.0,66.0,30.0,88.0,54.0,63.0,57.0,73.0,59.0,70.0,63.0,63.0,65.0,70.0,63.0,11.0,15.0,6.0,14.0,7.0,2
4421,53.0,62.0,67.0,63.0,57.0,81.0,75.0,70.0,69.0,68.0,67.0,57.0,67.0,71.0,77.0,76.0,70.0,78.0,73.0,85.0,70.0,43.0,49.0,64.0,66.0,73.0,67.0,67.0,12.0,14.0,6.0,14.0,9.0,1
4422,71.0,65.0,64.0,66.0,68.0,55.0,62.0,57.0,68.0,72.0,77.0,71.0,65.0,51.0,71.0,68.0,77.0,79.0,64.0,75.0,54.0,72.0,56.0,66.0,74.0,29.0,36.0,39.0,15.0,14.0,10.0,9.0,13.0,3
